Time Step,Label Index,Name (NA),2-rKRT-by-DSM (nm),1-rKRT-by-DSM (nm),0-rKRT-by-DSM (nm),0-rKRT-by-face (nm),1-rKRT-by-face (nm),Voxel count,Volume (nm³),Min Feret Diameter (nm),Mean Feret Diameter (nm),Max Feret Diameter (nm),Surface Area (Lindblad 2005) (nm²),Cell
0,1,,665.708626,1903.697466,1207.165269,1207.165269,665.708626,1,64,3.999957698,5.895479235,6.928047497,81.408,A
0,2,,768.3020158,797.7067185,349.879997,349.879997,768.3020158,1,64,3.999957698,5.895479235,6.928047497,81.408,A
0,3,,1200.453312,1325.280323,661.8519706,661.8519706,1200.453312,1,64,3.999957698,5.895479235,6.928047497,81.408,A
0,4,,6633.739304,7484.155049,7905.614439,7505.871963,6633.739304,1,64,3.999957698,5.895603636,6.928178543,81.408,A
0,5,,6683.237643,7517.182439,7948.764505,7539.024864,6683.237643,1,64,3.999957698,5.895560445,6.92811268,81.408,A
0,6,,1196.621952,1332.444413,663.1078691,663.1078691,1196.621952,1,64,3.999957698,5.895479235,6.928047497,81.408,A
0,7,,7650.683983,8136.976248,8770.212844,8159.334357,7650.683983,1,64,3.999957698,5.895541436,6.92811302,81.408,A
0,8,,1332.270244,4449.059361,4028.230251,4028.230251,1332.270244,1,64,3.999957698,5.89549542,6.928072196,81.408,A
0,9,,6818.067959,7153.441402,8164.38569,7171.237939,6818.067959,1,64,3.999957698,5.895522427,6.92811336,81.408,A
0,10,,805.7692185,1636.312959,739.4809245,739.4809245,805.7692185,1,64,3.999957698,5.895641654,6.928177864,81.408,A
0,11,,7054.935395,7195.501894,8571.999388,7216.314771,7054.935395,1,64,3.999957698,5.895479235,6.928047497,81.408,A
0,12,,301.8343762,4717.011052,2469.918172,2469.918172,301.8343762,1,64,3.999957698,5.895479235,6.928047497,81.408,A
0,13,,757.3532912,789.8050285,354.9647829,354.9647829,757.3532912,1,64,3.999957698,5.895479235,6.928047497,81.408,A
0,14,,626.3672958,2266.253432,1535.791625,1535.791625,626.3672958,1,64,3.999957698,5.895479235,6.928047497,81.408,A
0,15,,6073.576969,6099.666734,6940.62237,6123.106687,6073.576969,1,64,3.999957698,5.895479235,6.928047497,81.408,A
0,16,,8561.363757,8488.31769,9447.890989,8511.73445,8488.31769,1,64,4.000000331,5.895881315,6.92863169,81.408,A
0,17,,486.4236871,1827.334586,1868.184199,1835.99559,486.4236871,1,64,3.999957698,5.895641654,6.928177864,81.408,A
0,18,,8224.686098,8561.781215,9286.767636,8584.561328,8224.686098,1,64,3.999957698,5.895495432,6.928072196,81.408,A
0,19,,146.8604722,3079.981752,2789.812697,2789.812697,146.8604722,1,64,3.999957698,5.895479235,6.928047497,81.408,A
0,20,,29.39387578,1304.975058,911.4384625,911.4384625,29.39387578,1,64,3.999957698,5.895641654,6.928177864,81.408,A
0,21,,1257.432359,4384.419753,3976.547305,3976.547305,1257.432359,1,64,3.999957698,5.89549542,6.928072196,81.408,A
0,22,,6558.182577,6690.018836,8087.625247,6711.21461,6558.182577,1,64,3.999957698,5.895479235,6.928047497,81.408,A
0,23,,1951.048944,2482.701802,3605.154234,2504.012855,1951.048944,1,64,3.999957698,5.895479235,6.928047497,81.408,A
0,24,,3.999999887,682.0322369,944.5930118,686.7197158,3.999999887,2,128,3.999957698,7.414014965,9.793621963,124.224,A
0,25,,1114.299835,1176.04759,469.8595433,469.8595433,1114.299835,2,128,3.999957698,10.27146284,11.99704835,162.816,A
0,26,,728.3954915,159.4490584,128.809944,128.809944,177.7188743,2,128,3.999957698,7.415223607,9.793720232,124.224,A
0,27,,6550.009402,6679.465969,8074.604921,6700.719041,6550.009402,2,128,3.999957698,7.415223671,9.793806648,124.224,A
0,28,,1591.502382,2151.282388,1341.604957,1341.604957,1591.502382,2,128,3.999957698,7.414182494,9.793851183,124.224,A
0,29,,261.0440504,1082.175572,3426.772309,1082.175572,261.0440504,2,128,3.999957698,7.415137287,9.793621963,124.224,A
0,30,,1953.626452,2454.954029,3603.123105,2475.353767,1953.626452,2,128,3.999957698,7.787978932,11.99912251,162.816,A
0,31,,8232.424989,8559.598427,9289.324225,8582.413102,8232.424989,2,128,3.999957698,7.414031162,9.793640388,124.224,A
0,32,,255.6560048,3656.649824,1668.115033,1668.115033,255.6560048,3,192,3.999957698,9.195997654,14.96531488,205.632,A
0,33,,1031.73636,1264.158186,548.2481242,548.2481242,1031.73636,3,192,3.999957698,8.93479534,13.26343708,167.04,A
0,34,,1142.544534,1520.268484,718.5207096,718.5207096,1142.544534,3,192,3.999957698,8.932550694,13.26343708,167.04,A
0,35,,7548.922895,7563.624422,8736.547898,7586.191714,7548.922895,3,192,4.000014542,8.932634491,13.26348903,167.04,A
0,36,,255.1548732,1075.241357,3431.890491,1075.241357,255.1548732,3,192,3.999957698,8.93479534,13.26343708,167.04,A
0,37,,884.3800288,2349.931037,2467.374316,2349.931037,884.3800288,3,192,3.999957698,8.932550694,13.26343708,167.04,A
0,38,,874.6565072,1264.006301,491.6095691,491.6095691,874.6565072,4,256,3.999957698,11.35974511,20.37537769,287.04,A
0,39,,6551.630122,6766.881597,8190.371773,6786.519862,6551.630122,4,256,3.999957698,10.4514317,16.90016076,209.856,A
0,40,,6931.552434,6836.463399,7858.142453,6860.228495,6836.463399,4,256,3.999957698,10.45151291,16.90019397,209.856,A
0,41,,37.73592638,3115.486606,2890.539008,2890.539008,37.73592638,4,256,7.999915397,12.33343865,14.96484115,287.04,A
0,42,,249.5115154,1068.337042,3437.028909,1068.337042,249.5115154,4,256,3.999957698,10.45445339,16.89930375,209.856,A
0,43,,6444.546216,6695.056072,8091.220479,6714.122264,6444.546216,4,256,3.999957698,10.45108642,16.89930375,209.856,A
0,44,,6373.35188,6508.34545,7122.923307,6548.444617,6373.35188,5,320,3.999957698,9.879448088,14.96543874,234.784,A
0,45,,7654.281944,8129.90038,8767.698091,8152.314876,7654.281944,5,320,4.000014542,12.79836977,25.83115033,368.448,A
0,46,,6059.644875,6087.013389,6925.810339,6110.506547,6059.644875,5,320,5.68604325,12.13938542,16.49090207,291.264,A
0,47,,6290.540114,6534.981821,7171.358448,6557.908364,6290.540114,6,384,4.000071385,10.86237741,17.43539092,272.864,A
0,48,,8677.036931,8684.547538,9785.407201,8707.390407,8677.036931,6,384,4.000014542,10.87486225,17.43546363,272.864,A
0,49,,8472.326044,8495.813745,9629.994565,8518.576578,8472.326044,6,384,7.129677177,13.4994373,23.56746047,411.264,A
0,50,,577.0822895,1776.508952,1143.475401,1143.475401,577.0822895,7,448,3.999957698,15.00754659,28.27300635,338.304,A
0,51,,8657.250874,8668.631381,9776.118532,8691.316907,8657.250874,8,512,7.99997224,13.72510797,23.56745356,413.568,A
0,52,,7534.843007,7551.133422,8724.779946,7573.71663,7534.843007,9,576,3.999957698,15.31280744,28.27123363,401.312,A
0,53,,7500.935226,7697.177352,9115.322428,7717.261724,7500.935226,10,640,4.000014542,17.64035747,37.72850808,559.904,A
0,54,,1128.007057,1564.63409,769.5817317,769.5817317,1128.007057,11,704,4.000185072,14.60877197,23.56786703,459.584,A
0,55,,7751.88073,7789.130905,8982.798136,7811.725482,7751.88073,11,704,4.000014542,13.31439461,21.7694711,442.752,A
0,56,,4726.135103,4823.47923,5526.444056,4865.101801,4726.135103,11,704,4.000185072,12.99194459,20.37595784,439.072,A
0,57,,463.8103235,806.3150858,1757.138534,837.376831,463.8103235,17,1088,7.171839988,21.4283229,37.56856126,756.128,A
0,58,,724.2541074,152.8921132,105.29957,105.29957,173.712408,19,1216,8.75031402,17.24077736,29.3755089,887.008,A
0,59,,400.9787915,1712.976314,2912.456011,1712.976314,400.9787915,21,1344,7.999915397,20.91538531,35.77833624,873.728,A
0,60,,118.1862928,1114.184897,1637.896162,1118.46316,118.1862928,26,1664,15.99983079,28.7590848,47.15256139,1460.544,A
0,61,,661.404556,1970.230414,2145.49209,1980.69074,661.404556,31,1984,3.999957698,19.13083426,34.40466249,1087.584,A
0,62,,260.768104,1125.4225,3373.700793,1125.4225,260.768104,34,2176,11.9998731,29.41683618,34.60575662,1320.624,A
0,63,,589.3589901,4937.222002,3024.322723,3024.322723,589.3589901,34,2176,8.00014277,20.27514998,37.94438915,1258.688,A
0,64,,446.4437211,1789.453449,1803.866894,1797.291247,446.4437211,37,2368,16.97102639,29.82601074,43.06961819,1779.632,A
0,65,,5053.622772,6476.085218,6538.101388,6493.115052,5053.622772,38,2432,8.000029084,24.45628616,38.66349898,1379.856,A
0,66,,673.6408409,737.6069107,399.0588766,399.0588766,673.6408409,45,2880,22.6271777,42.87477807,48.96363932,3010.944,A
0,67,,724.6737255,3765.394013,2116.502628,2116.502628,724.6737255,46,2944,10.17465823,28.14055069,45.60653463,2011.872,A
0,68,,925.6694966,932.6521422,347.3787444,347.3787444,925.6694966,49,3136,11.9998731,29.01217484,45.60684217,1871.968,A
0,69,,7574.181382,7781.574823,9138.08708,7801.626452,7574.181382,59,3776,8.000029084,28.39615313,44.72114862,2128.608,A
0,70,,304.0526337,4501.736839,2603.950861,2603.950861,304.0526337,98,6272,12.20558351,36.88627457,68.348943,3806.56,A
0,71,,994.6818409,1497.881158,695.8850349,695.8850349,994.6818409,99,6336,12.00010047,36.54253283,58.83931297,3274.56,A
0,72,,480.6329343,817.2343655,1769.592018,847.6697531,480.6329343,102,6528,9.938200186,34.2212004,56.74923079,3327.056,A
0,73,,8422.577594,8410.559531,9491.945093,8433.67161,8410.559531,103,6592,11.99998678,33.49185851,55.73958893,3214.064,A
0,74,,5282.962775,5371.356565,6071.827556,5412.88864,5282.962775,124,7936,12.00010047,32.16393628,57.68572865,3198.704,A
0,75,,2112.090897,3007.420219,3767.503131,3032.601626,2112.090897,131,8384,13.96531169,29.93031765,50.11845676,3143.904,A
0,76,,626.7886192,727.6922247,431.2029773,431.2029773,626.7886192,140,8960,30.74183401,62.10579813,93.35404999,5358.096,A
0,77,,3.999999887,627.0438462,941.0972552,642.171301,3.999999887,156,9984,22.49843875,41.53485197,80.99260188,3970.768,A
0,78,,1154.469601,121.9180064,1526.831966,121.9180064,128.1249382,171,10944,20.00001587,40.66478206,59.40355044,4416.816,A
0,79,,992.9269709,1711.63083,824.9799635,824.9799635,992.9269709,227,14528,16.84966483,42.29240224,62.47592303,5595.52,A
0,80,,6449.601642,6704.064162,8097.173122,6723.078968,6449.601642,270,17280,15.99994448,56.17058624,104.9932839,7711.072,A
0,81,,7990.036465,8165.01597,9536.393918,8185.383194,7990.036465,275,17600,21.60746502,53.59785619,80.03511155,6164.464,A
0,82,,8078.302926,8396.450539,9123.628843,8419.320693,8078.302926,278,17792,13.07167481,45.29249986,85.88286369,6608.48,A
0,83,,7482.04684,7501.669188,8679.561688,7524.362445,7482.04684,281,17984,14.12104297,51.68641897,97.32184657,6946.24,A
0,84,,1024.382755,408.8227001,612.5879395,427.5511856,408.8227001,295,18880,20.30973855,45.87136419,64.06454187,5528.576,A
0,85,,1262.188562,4393.314612,3985.208423,3985.208423,1262.188562,318,20352,20.79125051,65.87782975,114.8229226,7986.208,A
0,86,,7509.902844,7487.681614,8378.66537,7511.273452,7487.681614,329,21056,17.2971142,61.71083429,115.4270248,8720.192,A
0,87,,493.8339657,3820.869097,3538.383908,3538.383908,493.8339657,352,22528,12.00010047,67.5526143,149.7716765,9771.36,A
0,88,,6297.313575,6561.124337,7192.131307,6584.05952,6297.313575,367,23488,19.48935197,47.66180227,90.8673313,7229.12,A
0,89,,922.6136513,2252.042577,2226.437573,2226.437573,922.6136513,368,23552,21.47017247,58.4472951,83.55964262,8963.456,A
0,90,,357.0098102,1542.496648,765.8929349,765.8929349,357.0098102,383,24512,17.17526915,74.05854817,103.0679257,9616.096,A
0,91,,404.3760669,670.5937494,500.8952257,500.8952257,404.3760669,431,27584,16.32369254,50.73509325,112.7069952,9302.944,A
0,92,,7678.987458,7687.838661,8843.52994,7710.606951,7678.987458,470,30080,15.29064825,59.5481099,123.469945,10674.352,A
0,93,,163.9999994,1529.533279,1301.457701,1301.457701,163.9999994,478,30592,24.34892224,60.7861462,99.35801527,10006.096,A
0,94,,642.2211527,954.0733572,506.3595836,506.3595836,642.2211527,482,30848,20.00001587,48.21776249,80.8735572,7431.184,A
0,95,,1075.955424,173.3435937,1981.825335,173.3435937,179.3766984,501,32064,18.18573728,49.02563203,83.22521346,9951.968,A
0,96,,594.2794132,1530.077157,683.4851547,683.4851547,594.2794132,541,34624,22.27851708,60.06658658,102.8315999,8741.536,A
0,97,,716.8151797,233.8204439,452.442265,273.2617759,233.8204439,606,38784,21.02141344,53.56620172,102.8314994,11604.944,A
0,98,,6873.352504,7717.278095,8157.392585,7739.297871,6873.352504,608,38912,17.87605498,64.96326553,134.9290577,13708.464,A
